Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
3045160_448	90.08	1.11	Gradient Boost (General Model)	11	0.916	71425	272.7025477707006	1397861	0.44	1570	None
2020860_39	99.99	1.12	Neural Network (Specific Model)	11	0.899	411724	275.79098187947744	2170693	0.46	2373	None
2026714_836	91.46	1.58	Gradient Boost (General Model)	11	0.873	19442	273.6350067842605	1383242	0.42	1474	None
2480821_13	99.9	2.95	Neural Network (Specific Model)	11	0.904	44807	289.88580931263857	1727562	0.53	1804	None
2933264_148	97.12	0.02	Neural Network (Specific Model)	11	0.874	36091	280.1559756921	1418789	0.39	1481	None
51678_3	99.98	0.02	Neural Network (Specific Model)	11	0.902	189743	281.5663976522377	1272001	0.47	1363	None
2020860_78	99.98	1.2	Neural Network (Specific Model)	11	0.893	807279	275.0383673469388	2250022	0.46	2450	None
2026714_151	86.49	0.62	Gradient Boost (General Model)	11	0.925	5345	248.61695685087057	1060883	0.55	1321	None
2100761_3	99.85	0.48	Neural Network (Specific Model)	11	0.896	29252	275.2149954832882	2028180	0.32	2214	None
1867261_24	93.68	0.22	Gradient Boost (General Model)	11	0.906	83287	270.52619233776386	1142429	0.55	1279	None
2250256_21	84.19	0.62	Gradient Boost (General Model)	11	0.927	14932	258.00943396226415	1323058	0.48	1590	None
2026773_223	83.63	2.4	Gradient Boost (General Model)	11	0.852	5650	257.5020979020979	647235	0.48	715	None
2599821_2	86.57	1.29	Gradient Boost (General Model)	11	0.922	20153	287.69072847682116	1411054	0.54	1510	None
2026773_215	84.39	2.6	Gradient Boost (General Model)	11	0.956	6459	262.1223021582734	341563	0.36	417	None
2026736_23	90.85	0.17	Gradient Boost (General Model)	11	0.958	12713	261.45303867403317	587292	0.44	724	None
1878999_3	94.02	1.36	Gradient Boost (General Model)	11	0.844	1390915	269.181755829904	1390915	0.48	1458	None
2886383_7	81.88	0.45	Gradient Boost (General Model)	11	0.938	7997	275.3796296296296	664383	0.31	756	None
2599936_14	88.59	0.62	Gradient Boost (General Model)	11	0.935	25156	251.968850698174	749914	0.52	931	None
2953041_73	92.13	0.18	Neural Network (Specific Model)	11	0.916	25541	280.53509933774836	692072	0.46	755	None
2599936_45	94.49	0.01	Gradient Boost (General Model)	11	0.893	49690	285.2502606882169	916613	0.45	959	None
1915905_3	85.4	0.4	Gradient Boost (General Model)	11	0.892	14091	314.47078464106846	1263560	0.47	1198	None
1915898_3	85.09	0.41	Gradient Boost (General Model)	11	0.923	33338	359.60556994818654	1802484	0.58	1544	None
2026739_895	94.65	1.39	Gradient Boost (General Model)	11	0.901	56755	276.05187835420395	1537581	0.64	1677	None
1915972_3	87.58	1.54	Gradient Boost (General Model)	11	0.937	42129	376.7608047690015	1616078	0.35	1342	None
1915775_3	85.92	0.12	Gradient Boost (General Model)	11	0.871	14587	284.77648040033364	1172587	0.65	1199	None
2026739_448	98.59	0.61	Neural Network (Specific Model)	11	0.868	496966	295.34784428631224	2431985	0.62	2389	None
2026739_326	85.8	1.79	Gradient Boost (General Model)	11	0.913	17793	284.4196471149261	1955336	0.65	2097	None
2026739_995	86.98	0.15	Neural Network (Specific Model)	11	0.938	130746	348.3453846153846	1443869	0.53	1300	None
1915811_3	86.19	0.02	Gradient Boost (General Model)	11	0.943	79635	359.7373831775701	1222631	0.48	1070	None
2026739_186	88.43	1.13	Gradient Boost (General Model)	11	0.949	58951	342.33815689261235	1418723	0.47	1313	None
2026747_196	88.94	2.54	Gradient Boost (General Model)	11	0.886	1600295	284.22491909385116	1780469	0.3	1854	None
2800102_6	86.91	2.85	Gradient Boost (General Model)	11	0.88	27523	309.40547588005217	4041893	0.36	3835	None
2876572_6	95.25	2.66	Gradient Boost (General Model)	11	0.886	3326783	345.560393258427	3326783	0.31	2848	None
2053489_51	100.0	4.2	Gradient Boost (General Model)	11	0.851	26265	305.8098806550097	3880929	0.26	3603	None
2799012_6	95.81	4.22	Gradient Boost (General Model)	11	0.828	13469	257.7236893969255	2367032	0.38	2537	None
2053489_146	97.87	2.49	Gradient Boost (General Model)	11	0.822	21229	291.0742261528743	3361411	0.27	3166	None
2053489_173	93.32	4.99	Gradient Boost (General Model)	11	0.855	4361485	335.88289260658394	4361485	0.31	3706	None
2591838_16	86.49	4.91	Gradient Boost (General Model)	11	0.9	16099	287.5761094981336	2303441	0.36	2411	None
2026747_173	87.5	3.74	Gradient Boost (General Model)	11	0.914	58920	317.14204139900073	2913089	0.33	2802	None
2053489_12	41.04	5.82	Neural Network (Specific Model)	11	0.888	4605	298.1825497670479	2374651	0.33	2361	None
