Header,CCA1,CCA2
1056495_6,1,0
1118069_21,1,0
1118069_3,1,0
111955_6,1,0
111955_9,1,0
1132497_5,1,0
1132498_7,1,0
1132499_7,1,0
1132501_5,1,0
1132502_7,1,0
1132503_5,1,0
1132504_5,1,0
1132505_7,1,0
1132506_5,1,0
1273541_6,1,0
12915_4,1,0
1293036_8,1,0
1326980_11,1,0
1365176_11,1,0
13773_5,1,0
1410574_3,1,0
1410575_3,1,0
1410606_16,1,0
1410606_9,1,0
1501411_5,1,0
1501411_7,1,0
1501411_8,1,0
1502291_6,1,0
1502293_6,1,0
1532350_4,1,0
1640512_4,1,0
164451_12,1,0
1655561_3,1,0
1700836_6,1,0
1702097_3,1,0
1702097_4,1,0
1714257_3,1,0
1714258_3,1,0
1779371_4,1,0
178306_9,1,0
1797378_3,1,0
1805393_3,1,0
1811586_3,1,0
1867261_11,1,0
1867261_12,1,0
1867261_14,1,0
1867261_16,1,0
1867261_24,1,0
1867261_25,1,0
1867261_26,1,0
1872104_4,1,0
1872399_3,1,0
1872399_4,1,0
1872399_7,1,0
1872399_8,1,0
1891280_3,1,0
1896163_11,1,0
1896163_12,1,0
1896163_4,1,0
1896163_6,1,0
1896163_8,1,0
1915597_3,1,0
1915614_3,1,0
1915616_3,1,0
1915989_3,1,0
1961369_13,1,0
1961369_31,1,0
1961369_36,1,0
1961369_51,1,0
1961369_5,1,0
1961369_61,1,0
1961369_63,1,0
1961369_78,1,0
1970082_5,1,0
1970082_8,1,0
1974385_3,1,0
2004705_12,1,0
2004705_13,1,0
2004705_35,1,0
2004705_37,1,0
2004705_3,1,0
2004705_41,1,0
2004705_42,1,0
2004705_4,1,0
2004705_58,1,0
2004705_64,1,0
2012509_3,1,0
2012510_3,1,0
2012520_3,1,0
2020860_12,1,0
2020860_14,1,0
2020860_16,1,0
2020860_18,1,0
2020860_23,1,0
2020860_26,1,0
2020860_27,1,0
2020860_28,1,0
2020860_29,1,0
2020860_33,1,0
2020860_35,1,0
2020860_37,1,0
2020860_39,1,0
2020860_3,1,0
2020860_41,1,0
2020860_43,1,0
2020860_44,1,0
2020860_47,1,0
2020860_48,1,0
2020860_49,1,0
2020860_4,1,0
2020860_51,1,0
2020860_55,1,0
2020860_57,1,0
2020860_58,1,0
2020860_5,1,0
2020860_61,1,0
2020860_62,1,0
2020860_63,1,0
2020860_66,1,0
2020860_67,1,0
2020860_69,1,0
2020860_6,1,0
2020860_71,1,0
2020860_72,1,0
2020860_76,1,0
2020860_78,1,0
2020860_79,1,0
2020860_7,1,0
2020860_82,1,0
2020860_83,1,0
2020860_84,1,0
2020860_85,1,0
2020860_86,1,0
2020860_89,1,0
2020860_8,1,0
2020871_4,1,0
2023064_8,1,0
2024843_109,1,0
2024843_111,1,0
2024843_118,1,0
2024843_184,1,0
2024843_223,1,0
2024843_229,1,0
2024843_238,1,0
2024843_246,1,0
2024843_249,1,0
2024843_258,1,0
2024843_259,1,0
2024843_262,1,0
2024843_263,1,0
2024843_268,1,0
2024843_273,1,0
2024843_274,1,0
2024843_278,1,0
2024843_39,1,0
2024843_3,1,0
2024843_47,1,0
2024843_53,1,0
2024843_61,1,0
2024843_62,1,0
2024843_63,1,0
2024843_78,1,0
2024843_7,1,0
2024843_81,1,0
2024843_83,1,0
2024843_91,1,0
2024843_93,1,0
2024843_94,1,0
2026714_126,1,0
2026714_12,1,0
2026714_151,1,0
2026714_152,1,0
2026714_15,1,0
2026714_175,1,0
2026714_176,1,0
2026714_178,1,0
2026714_17,1,0
2026714_186,1,0
2026714_194,1,0
2026714_209,1,0
2026714_223,1,0
2026714_224,1,0
2026714_225,1,0
2026714_227,1,0
2026714_233,1,0
2026714_234,1,0
2026714_245,1,0
2026714_257,1,0
2026714_258,1,0
2026714_259,1,0
2026714_265,1,0
2026714_268,1,0
2026714_269,1,0
2026714_27,1,0
2026714_325,1,0
2026714_32,1,0
2026714_353,1,0
2026714_357,1,0
2026714_359,1,0
2026714_363,1,0
2026714_364,1,0
2026714_367,1,0
2026714_373,1,0
2026714_379,1,0
2026714_382,1,0
2026714_38,1,0
2026714_448,1,0
2026714_449,1,0
2026714_454,1,0
2026714_455,1,0
2026714_456,1,0
2026714_45,1,0
2026714_468,1,0
2026714_469,1,0
2026714_474,1,0
2026714_475,1,0
2026714_476,1,0
2026714_58,1,0
2026714_608,1,0
2026714_611,1,0
2026714_612,1,0
2026714_615,1,0
2026714_61,1,0
2026714_623,1,0
2026714_624,1,0
2026714_629,1,0
2026714_62,1,0
2026714_664,1,0
2026714_666,1,0
2026714_669,1,0
2026714_66,1,0
2026714_671,1,0
2026714_674,1,0
2026714_679,1,0
2026714_683,1,0
2026714_687,1,0
2026714_71,1,0
2026714_721,1,0
2026714_723,1,0
2026714_746,1,0
2026714_755,1,0
2026714_767,1,0
2026714_775,1,0
2026714_782,1,0
2026714_836,1,0
2026714_87,1,0
2026714_92,1,0
2026768_13,1,0
2026768_15,1,0
2026795_131,1,0
2026795_134,1,0
2026795_138,1,0
2026795_14,1,0
2026795_184,1,0
2026795_193,1,0
2026795_195,1,0
2026795_349,1,0
2026795_416,1,0
2026795_417,1,0
2026795_544,1,0
2026795_57,1,0
2026795_701,1,0
2026795_707,1,0
2026795_715,1,0
2026795_717,1,0
2026795_7,1,0
2026808_24,1,0
2026886_37,1,0
2026886_43,1,0
2056630_28,1,0
2056630_4,1,0
2056631_16,1,0
2056631_23,1,0
2056631_44,1,0
2056631_47,1,0
2056631_48,1,0
2056631_51,1,0
2056631_54,1,0
2056631_65,1,0
2056631_73,1,0
207809_13,1,0
2080243_11,1,0
2100761_11,1,0
2100761_13,1,0
2100761_15,1,0
2100761_16,1,0
2100761_17,1,0
2100761_18,1,0
2100761_19,1,0
2100761_21,1,0
2100761_23,1,0
2100761_24,1,0
2100761_27,1,0
2100761_28,1,0
2100761_29,1,0
2100761_31,1,0
2100761_33,1,0
2100761_34,1,0
2100761_35,1,0
2100761_36,1,0
2100761_38,1,0
2100761_3,1,0
2100761_41,1,0
2100761_42,1,0
2100761_43,1,0
2100761_44,1,0
2100761_46,1,0
2100761_47,1,0
2100761_49,1,0
2100761_52,1,0
2100761_53,1,0
2100761_55,1,0
2100761_58,1,0
2100761_5,1,0
2100761_62,1,0
2100761_63,1,0
2100761_64,1,0
2100761_67,1,0
2100761_68,1,0
2100761_69,1,0
2100761_6,1,0
2100761_7,1,0
