Header,CCA1,CCA2
1104576_4,1,0
1130284_4,1,0
1803513_3,1,0
1803513_5,1,0
1803513_6,1,0
1803513_8,1,0
1805247_3,1,0
1878999_3,1,0
1915992_3,1,0
1916003_3,1,0
1974413_3,1,0
2012502_3,1,0
2012505_3,1,0
2012506_3,1,0
2012508_3,1,0
2026736_119,1,0
2026736_121,1,0
2026736_132,1,0
2026736_136,1,0
2026736_14,1,0
2026736_21,1,0
2026736_23,1,0
2026736_3,1,0
2026736_30,1,0
2026736_81,1,0
2026736_82,1,0
2026736_90,1,0
2026736_92,1,0
2026764_32,1,0
2026773_212,0,1
2026773_213,0,1
2026773_215,0,1
2026773_216,0,1
2026773_218,0,1
2026773_221,0,1
2026773_222,0,1
2026773_223,0,1
2026773_224,0,1
2026773_225,0,1
2026773_228,0,1
2026773_229,0,1
2026773_230,0,1
2026773_232,0,1
2026773_233,0,1
2026773_234,0,1
2026773_236,0,1
2026773_238,0,1
2026773_239,0,1
2026773_240,0,1
2026773_241,0,1
2026773_242,0,1
2026773_244,0,1
2026773_245,0,1
2026773_246,0,1
2026773_247,0,1
2026773_248,0,1
2026773_250,0,1
2026773_251,0,1
2026773_254,0,1
2026773_256,0,1
2026773_257,0,1
2026773_259,0,1
2026773_262,0,1
2026773_263,0,1
2026773_264,0,1
2026803_6,0,1
2026803_7,0,1
2093792_15,1,0
2093792_161,1,0
2093792_177,1,0
2093792_179,1,0
2093792_180,1,0
2093792_183,1,0
2093792_192,1,0
2093792_194,1,0
2093792_195,1,0
2093792_198,1,0
2093792_23,1,0
2093792_249,1,0
2093792_265,1,0
2093792_270,1,0
2093792_282,1,0
2093792_3,1,0
2093792_302,1,0
2093792_309,1,0
2093792_328,1,0
2093792_332,1,0
2093792_334,1,0
2093792_337,1,0
2093792_340,1,0
2093792_341,1,0
2093792_4,1,0
2093792_57,1,0
2093792_78,1,0
2093792_8,1,0
2093792_81,1,0
2093792_84,1,0
2093792_85,1,0
2093792_9,1,0
2099673_35,1,0
2099673_5,1,0
2099673_6,1,0
2250256_10,1,0
2250256_11,1,0
2250256_13,1,0
2250256_14,1,0
2250256_20,1,0
2250256_21,1,0
2250256_25,1,0
2250256_3,1,0
2250256_4,1,0
2250256_6,1,0
2250256_8,1,0
2250256_9,1,0
2250274_10,1,0
2250274_1003,1,0
2250274_1007,1,0
2250274_11,1,0
2250274_12,1,0
2250274_20,1,0
2250274_210,1,0
2250274_32,1,0
2250274_331,1,0
2250274_334,1,0
2250274_337,1,0
2250274_338,1,0
2250274_339,1,0
2250274_35,1,0
2250274_361,1,0
2250274_362,1,0
2250274_363,1,0
2250274_376,1,0
2250274_56,1,0
2250274_6,1,0
2250274_7,1,0
2250274_771,1,0
2250274_89,1,0
2250274_95,1,0
2599821_15,1,0
2599821_17,1,0
2599821_18,1,0
2599821_20,1,0
2599821_22,1,0
2599821_25,1,0
2599821_26,0,1
2599821_27,1,0
2599821_28,1,0
2599821_29,1,0
2599821_3,1,0
2599821_30,1,0
2599821_31,1,0
2599821_4,1,0
2599821_5,1,0
2599936_12,1,0
2599936_14,1,0
2599936_35,1,0
2599936_45,1,0
2599936_46,1,0
2599936_5,1,0
2599936_53,1,0
2599936_55,1,0
2817952_10,1,0
2817952_13,1,0
2817952_14,1,0
2817952_4,1,0
2817952_5,1,0
2817952_6,1,0
2817952_8,1,0
2886383_10,1,0
2886383_12,1,0
2886383_13,1,0
2886383_7,1,0
2886383_8,1,0
2886391_16,1,0
2886391_20,1,0
2886391_21,1,0
2886391_7,1,0
2886391_8,1,0
2886391_9,1,0
2910166_109,0,1
2910166_113,0,1
2953041_17,0,1
2953041_18,0,1
2953041_20,1,0
2953041_33,1,0
2953041_40,1,0
2953041_42,1,0
2953041_44,1,0
2953041_47,1,0
2953041_48,1,0
2953041_49,1,0
2953041_55,1,0
2953041_58,1,0
2953041_61,1,0
2953041_62,1,0
2953041_63,1,0
2953041_70,1,0
2953041_73,1,0
2953041_80,1,0
2953041_82,1,0
2953041_89,1,0
3018264_20,1,0
3018264_21,1,0
3018264_25,1,0
3018267_10,1,0
3018267_12,1,0
3018267_17,1,0
3018267_21,1,0
3018267_31,1,0
